Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Texture64\Texture64.csproj,File,Texture64\Texture64.csproj,,,System.Runtime.InteropServices.WindowsRuntime 4.3.0,,,,,"System.Runtime.InteropServices.WindowsRuntime, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Texture64\Texture64.csproj,File,Texture64\Texture64.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Texture64\Texture64.csproj,File,Texture64\Texture64.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,206,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""question"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,205,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap question
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,196,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""plus"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,195,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap plus
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,186,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""palette_before"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,185,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap palette_before
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Resources.Designer.cs,176,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""palette_after"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
